month,python
09-Jan,631
09-Feb,633
09-Mar,766
09-Apr,768
09-May,1003
09-Jun,1046
09-Jul,1165
09-Aug,1143
09-Sep,1169
09-Oct,1424
09-Nov,1562
09-Dec,1552
10-Jan,1952
10-Feb,1872
10-Mar,2076
10-Apr,1817
10-May,2017
10-Jun,2214
10-Jul,2607
10-Aug,2498
10-Sep,2254
10-Oct,2671
10-Nov,2619
10-Dec,2441
11-Jan,2913
11-Feb,3024
11-Mar,3763
11-Apr,3359
11-May,3538
11-Jun,3485
11-Jul,3688
11-Aug,3849
11-Sep,3526
11-Oct,3639
11-Nov,3889
11-Dec,3555
12-Jan,4232
12-Feb,4517
12-Mar,5073
12-Apr,4948
12-May,5133
12-Jun,5295
12-Jul,5751
12-Aug,5882
12-Sep,5273
12-Oct,6154
12-Nov,6408
12-Dec,5636
13-Jan,6605
13-Feb,6793
13-Mar,7680
13-Apr,7975
13-May,7862
13-Jun,7640
13-Jul,8656
13-Aug,7974
13-Sep,7999
13-Oct,9539
13-Nov,9546
13-Dec,8306
14-Jan,9892
14-Feb,9951
14-Mar,11483
14-Apr,10839
14-May,9330
14-Jun,8967
14-Jul,9999
14-Aug,9170
14-Sep,8829
14-Oct,9651
14-Nov,9652
14-Dec,8886
15-Jan,9757
15-Feb,10264
15-Mar,11685
15-Apr,11522
15-May,11286
15-Jun,11887
15-Jul,12392
15-Aug,11296
15-Sep,11040
15-Oct,12578
15-Nov,12384
15-Dec,11446
16-Jan,12439
16-Feb,13334
16-Mar,14173
16-Apr,13775
16-May,13207
16-Jun,13009
16-Jul,12943
16-Aug,13006
16-Sep,12424
16-Oct,13616
16-Nov,14296
16-Dec,12889
17-Jan,14388
17-Feb,14901
17-Mar,17280
17-Apr,15752
17-May,16291
17-Jun,16173
17-Jul,17064
17-Aug,17472
17-Sep,16949
17-Oct,18735
17-Nov,18935
17-Dec,16207
18-Jan,16307
18-Feb,16393
18-Mar,17970
18-Apr,17030
18-May,17639
18-Jun,16860
18-Jul,17988
18-Aug,17874
18-Sep,16158
18-Oct,18329
18-Nov,18215
18-Dec,15537
19-Jan,17167
19-Feb,17749
19-Mar,20144
19-Apr,20054
19-May,19128
19-Jun,17515
19-Jul,20041
19-Aug,20257
19-Sep,19207
19-Oct,23414
19-Nov,23602
19-Dec,20058
